AMD A10 PRO-7800B APU,0.0,65.0,2014-10-01,FM2+,3500.0,2
AMD A10 PRO-7850B APU,148.02,95.0,2014-11-01,FM2+,3700.0,2
AMD A10-5700 APU,59.95,65.0,2012-06-01,FM2,3400.0,2
AMD A10-5800B APU,44.99,100.0,2013-07-01,FM2,3800.0,2
AMD A10-5800K APU,46.07,100.0,2012-10-01,FM2,3800.0,2
AMD A10-6700 APU,39.59,65.0,2013-06-01,FM2,3700.0,4
AMD A10-6700T APU,147.61,45.0,2014-06-01,FM2,2500.0,2
AMD A10-6790K APU,36.72,100.0,2013-12-01,FM2,4000.0,2
AMD A10-6800B APU,128.02,100.0,2014-02-01,FM2,4100.0,2
AMD A10-6800K APU,53.99,100.0,2013-06-01,FM2,4100.0,2
AMD A10-7700K APU,32.81,95.0,2014-01-01,FM2+,3400.0,2
AMD A10-7800 APU,37.68,65.0,2014-06-01,FM2+,3500.0,2
AMD A10-7850K APU,56.05,95.0,2014-01-01,FM2+,3700.0,2
AMD A10-7860K,57.17,65.0,2016-03-01,FM2+,3600.0,2
AMD A10-7870K,65.92,95.0,2015-06-01,FM2+,3900.0,2
AMD A10-7890K,139.97,95.0,2016-04-01,FM2+,4100.0,2
AMD A10-8750,0.0,65.0,2015-09-01,FM2+,3600.0,2
AMD A10-9700,66.86,65.0,2016-12-01,AM4,3500.0,4
AMD A10-9700E,91.5,35.0,2017-11-01,AM4,3000.0,4
AMD A12-9800,101.99,65.0,2016-10-01,AM4,3800.0,2
AMD A12-9800E,670.15,35.0,2017-09-01,AM4,3100.0,4
AMD A4 PRO-7350B,0.0,65.0,2014-12-01,FM2+,3400.0,1
AMD A4-3300 APU,56.61,65.0,2011-11-01,FM1,2500.0,2
AMD A4-3400 APU,20.0,65.0,2011-09-01,FM1,2700.0,2
AMD A4-3420 APU,136.0,65.0,2012-01-01,FM1,2800.0,2
AMD A4-4000 APU,19.91,65.0,2013-05-01,FM2,3000.0,1
AMD A4-4020 APU,105.37,65.0,2014-07-01,FM2,3200.0,2
AMD A4-5300 APU,26.95,65.0,2012-10-01,FM2,3400.0,2
AMD A4-5300B APU,25.95,65.0,2012-12-01,FM2,3400.0,2
AMD A4-6300 APU,42.02,65.0,2013-11-01,FM2,3700.0,1
AMD A4-6320 APU,69.99,65.0,2014-04-01,FM2,3800.0,1
AMD A4-7300 APU,18.8,65.0,2014-09-01,FM2,3800.0,1
